county_name,cbp_small_biz_count,crunchbase_count,state_abbv,pop_est_2013,state_name,crunchbase_per_capita,cbp_per_capita,land_area_sqmile,pop_density
Abbeville County,335,0,SC,25007,South Carolina,0,0.013396249,490.484,50.98433384
Acadia Parish,1130,2,LA,62204,Louisiana,3.21523E-05,0.018166034,655.119,94.95068835
Accomack County,758,0,VA,33148,Virginia,0,0.022867141,449.496,73.74481642
Ada County,12190,89,ID,416464,Idaho,0.000213704,0.029270237,1052.576,395.6616909
Adair County,187,0,IA,7472,Iowa,0,0.025026767,573.477,38.70076742
Adair County,637,0,MO,25572,Missouri,0,0.024910058,569.271,13.12555883
Adair County,316,0,KY,18732,Kentucky,0,0.016869528,567.324,45.07477209
Adair County,219,0,OK,22194,Oklahoma,0,0.009867532,405.283,46.21955522
Adams County,105,0,ND,2360,North Dakota,0,0.044491525,1924.978,9.905048265
Adams County,971,6,NE,31610,Nebraska,0.000189813,0.030718127,1363.056,2.808395253
Adams County,118,0,IA,3894,Iowa,0,0.03030303,1167.653,401.8257136
Adams County,115,1,ID,3828,Idaho,0.000261233,0.030041797,987.619,2.389585458
Adams County,1827,1,IL,67130,Illinois,1.48965E-05,0.02721585,855.202,78.49607461
Adams County,817,0,MS,32090,Mississippi,0,0.025459645,645.646,31.72016864
Adams County,712,0,IN,34614,Indiana,0,0.020569712,583.867,48.13596247
Adams County,1897,0,PA,101546,Pennsylvania,0,0.018681189,563.272,56.11853598
Adams County,356,0,WA,19067,Washington,0,0.018671002,518.668,195.7822731
Adams County,8543,54,CO,469193,Colorado,0.000115091,0.018207859,462.407,69.39773836
Adams County,328,0,WI,20480,Wisconsin,0,0.016015625,423.439,9.196129785
Adams County,372,0,OH,28105,Ohio,0,0.013236079,339.028,102.0977618
Addison County,1136,10,VT,36791,Vermont,0.000271806,0.030877117,766.325,48.00965648
Aiken County,2665,4,SC,164176,South Carolina,2.43641E-05,0.01623258,1071.034,153.287384
Aitkin County,400,0,MN,15742,Minnesota,0,0.025409732,1821.663,8.641554448
Alachua County,5843,81,FL,253451,Florida,0.000319588,0.023053766,875.02,289.6516651
Alamance County,3155,0,NC,154378,North Carolina,0,0.02043685,423.943,364.1480105
Alameda County,37020,1392,CA,1578891,California,0.000881631,0.023446837,739.017,2136.474533
Alamosa County,474,0,CO,16253,Colorado,0,0.029163847,722.643,22.49105021
Albany County,9386,8,NY,306945,New York,2.60633E-05,0.030578768,4273.84,8.756060124
Albany County,1024,3,WY,37422,Wyoming,8.01667E-05,0.027363583,522.804,587.1129525
Albemarle County,2564,119,VA,103000,Virginia,0.00115534,0.024893204,720.698,142.9170055
Alcona County,193,0,MI,10578,Michigan,0,0.018245415,674.585,15.68075187
Alcorn County,780,1,MS,37316,Mississippi,2.67982E-05,0.020902562,400.038,93.28113829
Aleutians East Borough,57,0,AK,3092,Alaska,0,0.01843467,6981.943,0.442856666
Aleutians West Census Area,114,0,AK,5511,Alaska,0,0.020685901,4390.276,1.255274156
Alexander County,557,0,NC,36930,North Carolina,0,0.015082589,259.994,142.0417394
Alexander County,107,0,IL,7629,Illinois,0,0.014025429,235.509,32.39366648
Alexandria city,4631,63,VA,148892,Virginia,0.000423125,0.031103081,15.027,9908.298396
Alfalfa County,130,0,OK,5847,Oklahoma,0,0.022233624,866.455,6.748186576
Alger County,234,0,MI,9522,Michigan,0,0.024574669,915.07,10.40576131
Allamakee County,395,0,IA,14169,Iowa,0,0.027877761,639.082,22.17086383
Allegan County,2221,0,MI,112531,Michigan,0,0.019736784,825.231,136.3630305
Allegany County,1609,2,MD,73521,Maryland,2.72031E-05,0.021884904,1029.308,46.73916845
Allegany County,808,0,NY,48109,New York,0,0.016795194,424.158,173.3339935
Alleghany County,248,0,NC,10939,North Carolina,0,0.022671177,445.457,36.27959601
Alleghany County,243,2,VA,16161,Virginia,0.000123755,0.015036198,235.059,46.53725235
Allegheny County,33457,664,PA,1231527,Pennsylvania,0.000539168,0.027167086,730.075,1686.849981
Allen County,385,0,KS,13124,Kansas,0,0.029335568,657.308,552.2738199
