county_name,cbp_small_biz_count,crunchbase_count,state_abbv,pop_est_2013,state_name,crunchbase_per_capita,cbp_per_capita,land_area_sqmile,pop_density
Jessamine County,1043,1,KY,50173,Kentucky,1.9931E-05,0.020788073,172.116,291.5068907
Grundy County,1071,1,IL,50228,Illinois,1.99092E-05,0.021322768,418.043,120.1503195
Tioga County,819,2,NY,50243,New York,3.98065E-05,0.016300778,518.602,96.88161635
Dickson County,895,1,NY,50266,Tennessee,1.98942E-05,0.017805276,489.896,102.605451
Loudon County,906,0,TN,50448,Tennessee,0,0.017959087,229.216,220.089348
Curry County,1047,0,NM,50598,New Mexico,0,0.020692517,1404.797,36.01801541
Box Elder County,978,2,UT,50794,Utah,3.93747E-05,0.019254243,5745.551,8.840579433
Cherokee County,776,0,TX,50878,Texas,0,0.015252172,455.426,59.76382552
Coffee County,951,2,AL,50938,Alabama,3.92634E-05,0.018669755,428.957,124.3877591
Grant County,1218,0,WI,51069,Wisconsin,0,0.023850085,681.458,10.68444424
Winona County,1184,4,MN,51232,Minnesota,7.80762E-05,0.023110556,626.206,81.81333299
Lafayette County,1065,2,MS,51318,Mississippi,3.89727E-05,0.020752952,628.433,52.42086269
Hoke County,396,0,NC,51322,North Carolina,0,0.007715989,390.744,131.3443073
Harrisonburg city,1556,5,VA,51395,Virginia,9.72857E-05,0.030275319,17.418,2950.683201
Camden County,791,2,GA,51476,Georgia,3.88531E-05,0.015366384,240.556,42.34772776
Wayne County,1310,0,PA,51548,Pennsylvania,0,0.025413207,759.176,17.65598491
Lyon County,768,1,NV,51557,Nevada,1.9396E-05,0.014896134,213.84,39.52020202
Washington County,1188,0,OK,51577,Oklahoma,0,0.023033523,678.452,30.47525838
Worcester County,2108,0,MD,51620,Maryland,0,0.040836885,1510.77,535.5586886
Franklin County,989,0,NY,51688,New York,0,0.019134035,563.779,14.06756903
Somerset County,1170,7,ME,51706,Maine,0.000135381,0.022627935,1074.374,71.22287025
Cass County,737,0,MI,51910,Michigan,0,0.01419765,375.818,35.45333113
Knox County,1076,1,IL,52078,Illinois,1.9202E-05,0.020661316,504.011,8.069268329
Jefferson County,649,0,TN,52123,Tennessee,0,0.012451317,274.078,190.1757894
Waupaca County,1206,0,WI,52285,Wisconsin,0,0.023065889,747.713,69.92656273
